Uniprote_IDs,uT01,uT02,uT03,uT04,uT05,uT06,uT07,uT08,uT09,uT10,FA01,FA02,FA03,FA04,FA05,FA06,FA07,FA08,FA09,FA10
P11717,152.3252258,162.2341919,164.5978851,163.261673,172.5064697,159.8503265,160.6647034,198.4501343,184.1256104,226.3602753,139.6925049,153.3274689,152.6108093,179.0569763,154.2207947,154.4512939,171.1186371,192.5074921,195.0892334,175.2847748
P11766,523.2877197,494.7060242,482.7271729,482.2485352,479.1352234,493.3554993,494.3908997,480.2250671,465.6875,445.4516602,524.3685303,495.2913208,466.1096191,506.661377,647.7897949,487.4744873,473.2757874,478.631012,500.2132874,467.3817749
P11802,241.6025848,278.6345215,278.4243164,262.9603271,240.6315918,246.0699005,240.245224,248.6456299,300.0523987,269.4425354,192.2061768,232.115097,262.0568237,203.1465759,221.7792053,244.9873505,258.7183533,266.4260559,246.2398682,248.534317
P11908,659.1815796,726.6434937,688.8268433,658.524353,674.6804199,683.3666382,695.2351685,696.4140625,769.0625,829.7662354,624.8004761,683.4345703,691.1243896,673.1049194,727.1324463,760.8707886,753.5943604,742.5947266,840.2252808,784.0178833
P11940,3514.796387,3691.735596,3730.047852,3594.350098,3405.351807,3834.253662,3559.166016,4002.957031,3927.552734,4445.523438,3496.51709,3461.58374,3626.62207,3731.394775,3436.246582,3868.369141,4093.757568,4091.945313,4054.78418,4036.787598
P12004,1351.095947,1330.863159,1297.412842,1195.217773,1387.398926,1428.632935,1291.974121,1450.216187,1462.641113,1716.657471,1359.991089,1370.596558,1475.121338,1402.57373,1405.758057,1406.981323,1449.297485,1537.633423,1544.704468,1559.401733
P12081,528.446106,500.2951965,551.4725952,525.1506348,583.2867432,578.5075684,551.6541748,584.0446167,597.529541,650.2854004,524.9174805,572.3324585,529.0167847,540.1162109,583.2531738,562.395813,578.7714233,614.861145,701.2949219,621.7370605
P12111,Filtered,Filtered,56.80693817,Filtered,Filtered,Filtered,Filtered,33.88474655,50.88489151,67.2328186,19.28060532,Filtered,Filtered,30.43380547,Filtered,46.82111359,Filtered,Filtered,Filtered,Filtered
P12235,1024.984985,983.9849243,1098.151489,857.1948853,1025.822021,1088.297241,958.6849365,956.600769,982.0956421,1078.738037,975.0553589,1048.575439,950.3672485,965.1321411,975.9730835,914.0543213,1056.984863,1011.71405,1038.395996,1111.177246
P12236,783.2849731,1088.012451,773.8127441,822.0360718,800.0929565,718.2658691,811.4372559,858.4741211,848.8324585,1048.209839,711.5913696,970.4133301,1028.441895,977.1383057,1016.395752,777.3485107,873.8797607,1358.068726,1039.424805,844.0059814
